rank	hand	abbreviation	description
223	10 10 10 5 5	FH	Tens Full over Fives
224	10 10 10 4 4	FH	Tens Full over Fours
225	10 10 10 3 3	FH	Tens Full over Treys
226	10 10 10 2 2	FH	Tens Full over Deuces
227	9 9 9 14 14	FH	Nines Full over Aces
228	9 9 9 13 13	FH	Nines Full over Kings
229	9 9 9 12 12	FH	Nines Full over Queens
230	9 9 9 11 11	FH	Nines Full over Jacks
231	9 9 9 10 10	FH	Nines Full over Tens
232	9 9 9 8 8	FH	Nines Full over Eights
233	9 9 9 7 7	FH	Nines Full over Sevens
234	9 9 9 6 6	FH	Nines Full over Sixes
235	9 9 9 5 5	FH	Nines Full over Fives
236	9 9 9 4 4	FH	Nines Full over Fours
237	9 9 9 3 3	FH	Nines Full over Treys
238	9 9 9 2 2	FH	Nines Full over Deuces
239	8 8 8 14 14	FH	Eights Full over Aces
240	8 8 8 13 13	FH	Eights Full over Kings
241	8 8 8 12 12	FH	Eights Full over Queens
242	8 8 8 11 11	FH	Eights Full over Jacks
243	8 8 8 10 10	FH	Eights Full over Tens
244	8 8 8 9 9	FH	Eights Full over Nines
245	8 8 8 7 7	FH	Eights Full over Sevens
246	8 8 8 6 6	FH	Eights Full over Sixes
247	8 8 8 5 5	FH	Eights Full over Fives
248	8 8 8 4 4	FH	Eights Full over Fours
249	8 8 8 3 3	FH	Eights Full over Treys
250	8 8 8 2 2	FH	Eights Full over Deuces
251	7 7 7 14 14	FH	Sevens Full over Aces
252	7 7 7 13 13	FH	Sevens Full over Kings
253	7 7 7 12 12	FH	Sevens Full over Queens
254	7 7 7 11 11	FH	Sevens Full over Jacks
255	7 7 7 10 10	FH	Sevens Full over Tens
256	7 7 7 9 9	FH	Sevens Full over Nines
257	7 7 7 8 8	FH	Sevens Full over Eights
258	7 7 7 6 6	FH	Sevens Full over Sixes
259	7 7 7 5 5	FH	Sevens Full over Fives
260	7 7 7 4 4	FH	Sevens Full over Fours
261	7 7 7 3 3	FH	Sevens Full over Treys
262	7 7 7 2 2	FH	Sevens Full over Deuces
263	6 6 6 14 14	FH	Sixes Full over Aces
264	6 6 6 13 13	FH	Sixes Full over Kings
265	6 6 6 12 12	FH	Sixes Full over Queens
266	6 6 6 11 11	FH	Sixes Full over Jacks
267	6 6 6 10 10	FH	Sixes Full over Tens
268	6 6 6 9 9	FH	Sixes Full over Nines
269	6 6 6 8 8	FH	Sixes Full over Eights
270	6 6 6 7 7	FH	Sixes Full over Sevens
271	6 6 6 5 5	FH	Sixes Full over Fives
272	6 6 6 4 4	FH	Sixes Full over Fours
273	6 6 6 3 3	FH	Sixes Full over Treys
274	6 6 6 2 2	FH	Sixes Full over Deuces
275	5 5 5 14 14	FH	Fives Full over Aces
276	5 5 5 13 13	FH	Fives Full over Kings
277	5 5 5 12 12	FH	Fives Full over Queens
278	5 5 5 11 11	FH	Fives Full over Jacks
279	5 5 5 10 10	FH	Fives Full over Tens
280	5 5 5 9 9	FH	Fives Full over Nines
281	5 5 5 8 8	FH	Fives Full over Eights
282	5 5 5 7 7	FH	Fives Full over Sevens
283	5 5 5 6 6	FH	Fives Full over Sixes
284	5 5 5 4 4	FH	Fives Full over Fours
285	5 5 5 3 3	FH	Fives Full over Treys
286	5 5 5 2 2	FH	Fives Full over Deuces
287	4 4 4 14 14	FH	Fours Full over Aces
