rank	hand	abbreviation	description
3856	12 12 13 6 5	1P	Pair of Queens
3857	12 12 13 6 4	1P	Pair of Queens
3858	12 12 13 6 3	1P	Pair of Queens
3859	12 12 13 6 2	1P	Pair of Queens
3860	12 12 13 5 4	1P	Pair of Queens
3861	12 12 13 5 3	1P	Pair of Queens
3862	12 12 13 5 2	1P	Pair of Queens
3863	12 12 13 4 3	1P	Pair of Queens
3864	12 12 13 4 2	1P	Pair of Queens
3865	12 12 13 3 2	1P	Pair of Queens
3866	12 12 11 10 9	1P	Pair of Queens
3867	12 12 11 10 8	1P	Pair of Queens
3868	12 12 11 10 7	1P	Pair of Queens
3869	12 12 11 10 6	1P	Pair of Queens
3870	12 12 11 10 5	1P	Pair of Queens
3871	12 12 11 10 4	1P	Pair of Queens
3872	12 12 11 10 3	1P	Pair of Queens
3873	12 12 11 10 2	1P	Pair of Queens
3874	12 12 11 9 8	1P	Pair of Queens
3875	12 12 11 9 7	1P	Pair of Queens
3876	12 12 11 9 6	1P	Pair of Queens
3877	12 12 11 9 5	1P	Pair of Queens
3878	12 12 11 9 4	1P	Pair of Queens
3879	12 12 11 9 3	1P	Pair of Queens
3880	12 12 11 9 2	1P	Pair of Queens
3881	12 12 11 8 7	1P	Pair of Queens
3882	12 12 11 8 6	1P	Pair of Queens
3883	12 12 11 8 5	1P	Pair of Queens
3884	12 12 11 8 4	1P	Pair of Queens
3885	12 12 11 8 3	1P	Pair of Queens
3886	12 12 11 8 2	1P	Pair of Queens
3887	12 12 11 7 6	1P	Pair of Queens
3888	12 12 11 7 5	1P	Pair of Queens
3889	12 12 11 7 4	1P	Pair of Queens
3890	12 12 11 7 3	1P	Pair of Queens
3891	12 12 11 7 2	1P	Pair of Queens
3892	12 12 11 6 5	1P	Pair of Queens
3893	12 12 11 6 4	1P	Pair of Queens
3894	12 12 11 6 3	1P	Pair of Queens
3895	12 12 11 6 2	1P	Pair of Queens
3896	12 12 11 5 4	1P	Pair of Queens
3897	12 12 11 5 3	1P	Pair of Queens
3898	12 12 11 5 2	1P	Pair of Queens
3899	12 12 11 4 3	1P	Pair of Queens
3900	12 12 11 4 2	1P	Pair of Queens
3901	12 12 11 3 2	1P	Pair of Queens
3902	12 12 10 9 8	1P	Pair of Queens
3903	12 12 10 9 7	1P	Pair of Queens
3904	12 12 10 9 6	1P	Pair of Queens
3905	12 12 10 9 5	1P	Pair of Queens
3906	12 12 10 9 4	1P	Pair of Queens
3907	12 12 10 9 3	1P	Pair of Queens
3908	12 12 10 9 2	1P	Pair of Queens
3909	12 12 10 8 7	1P	Pair of Queens
3910	12 12 10 8 6	1P	Pair of Queens
3911	12 12 10 8 5	1P	Pair of Queens
3912	12 12 10 8 4	1P	Pair of Queens
3913	12 12 10 8 3	1P	Pair of Queens
3914	12 12 10 8 2	1P	Pair of Queens
3915	12 12 10 7 6	1P	Pair of Queens
3916	12 12 10 7 5	1P	Pair of Queens
3917	12 12 10 7 4	1P	Pair of Queens
3918	12 12 10 7 3	1P	Pair of Queens
3919	12 12 10 7 2	1P	Pair of Queens
3920	12 12 10 6 5	1P	Pair of Queens
3921	12 12 10 6 4	1P	Pair of Queens
3922	12 12 10 6 3	1P	Pair of Queens
3923	12 12 10 6 2	1P	Pair of Queens
3924	12 12 10 5 4	1P	Pair of Queens
3925	12 12 10 5 3	1P	Pair of Queens
3926	12 12 10 5 2	1P	Pair of Queens
3927	12 12 10 4 3	1P	Pair of Queens
3928	12 12 10 4 2	1P	Pair of Queens
3929	12 12 10 3 2	1P	Pair of Queens
3930	12 12 9 8 7	1P	Pair of Queens
3931	12 12 9 8 6	1P	Pair of Queens
3932	12 12 9 8 5	1P	Pair of Queens
3933	12 12 9 8 4	1P	Pair of Queens
3934	12 12 9 8 3	1P	Pair of Queens
3935	12 12 9 8 2	1P	Pair of Queens
3936	12 12 9 7 6	1P	Pair of Queens
3937	12 12 9 7 5	1P	Pair of Queens
3938	12 12 9 7 4	1P	Pair of Queens
3939	12 12 9 7 3	1P	Pair of Queens
3940	12 12 9 7 2	1P	Pair of Queens
3941	12 12 9 6 5	1P	Pair of Queens
3942	12 12 9 6 4	1P	Pair of Queens
3943	12 12 9 6 3	1P	Pair of Queens
3944	12 12 9 6 2	1P	Pair of Queens
3945	12 12 9 5 4	1P	Pair of Queens
3946	12 12 9 5 3	1P	Pair of Queens
3947	12 12 9 5 2	1P	Pair of Queens
3948	12 12 9 4 3	1P	Pair of Queens
3949	12 12 9 4 2	1P	Pair of Queens
3950	12 12 9 3 2	1P	Pair of Queens
3951	12 12 8 7 6	1P	Pair of Queens
3952	12 12 8 7 5	1P	Pair of Queens
3953	12 12 8 7 4	1P	Pair of Queens
3954	12 12 8 7 3	1P	Pair of Queens
3955	12 12 8 7 2	1P	Pair of Queens
3956	12 12 8 6 5	1P	Pair of Queens
3957	12 12 8 6 4	1P	Pair of Queens
3958	12 12 8 6 3	1P	Pair of Queens
3959	12 12 8 6 2	1P	Pair of Queens
3960	12 12 8 5 4	1P	Pair of Queens
3961	12 12 8 5 3	1P	Pair of Queens
3962	12 12 8 5 2	1P	Pair of Queens
3963	12 12 8 4 3	1P	Pair of Queens
3964	12 12 8 4 2	1P	Pair of Queens
3965	12 12 8 3 2	1P	Pair of Queens
3966	12 12 7 6 5	1P	Pair of Queens
3967	12 12 7 6 4	1P	Pair of Queens
3968	12 12 7 6 3	1P	Pair of Queens
3969	12 12 7 6 2	1P	Pair of Queens
3970	12 12 7 5 4	1P	Pair of Queens
3971	12 12 7 5 3	1P	Pair of Queens
3972	12 12 7 5 2	1P	Pair of Queens
3973	12 12 7 4 3	1P	Pair of Queens
3974	12 12 7 4 2	1P	Pair of Queens
3975	12 12 7 3 2	1P	Pair of Queens
3976	12 12 6 5 4	1P	Pair of Queens
3977	12 12 6 5 3	1P	Pair of Queens
3978	12 12 6 5 2	1P	Pair of Queens
3979	12 12 6 4 3	1P	Pair of Queens
3980	12 12 6 4 2	1P	Pair of Queens
3981	12 12 6 3 2	1P	Pair of Queens
3982	12 12 5 4 3	1P	Pair of Queens
3983	12 12 5 4 2	1P	Pair of Queens
3984	12 12 5 3 2	1P	Pair of Queens
3985	12 12 4 3 2	1P	Pair of Queens
3986	11 11 14 13 12	1P	Pair of Jacks
3987	11 11 14 13 10	1P	Pair of Jacks
3988	11 11 14 13 9	1P	Pair of Jacks
3989	11 11 14 13 8	1P	Pair of Jacks
3990	11 11 14 13 7	1P	Pair of Jacks
3991	11 11 14 13 6	1P	Pair of Jacks
3992	11 11 14 13 5	1P	Pair of Jacks
3993	11 11 14 13 4	1P	Pair of Jacks
3994	11 11 14 13 3	1P	Pair of Jacks
3995	11 11 14 13 2	1P	Pair of Jacks
3996	11 11 14 12 10	1P	Pair of Jacks
3997	11 11 14 12 9	1P	Pair of Jacks
3998	11 11 14 12 8	1P	Pair of Jacks
3999	11 11 14 12 7	1P	Pair of Jacks
4000	11 11 14 12 6	1P	Pair of Jacks
4001	11 11 14 12 5	1P	Pair of Jacks
4002	11 11 14 12 4	1P	Pair of Jacks
4003	11 11 14 12 3	1P	Pair of Jacks
4004	11 11 14 12 2	1P	Pair of Jacks
4005	11 11 14 10 9	1P	Pair of Jacks
4006	11 11 14 10 8	1P	Pair of Jacks
4007	11 11 14 10 7	1P	Pair of Jacks
4008	11 11 14 10 6	1P	Pair of Jacks
4009	11 11 14 10 5	1P	Pair of Jacks
4010	11 11 14 10 4	1P	Pair of Jacks
4011	11 11 14 10 3	1P	Pair of Jacks
4012	11 11 14 10 2	1P	Pair of Jacks
4013	11 11 14 9 8	1P	Pair of Jacks
4014	11 11 14 9 7	1P	Pair of Jacks
4015	11 11 14 9 6	1P	Pair of Jacks
4016	11 11 14 9 5	1P	Pair of Jacks
4017	11 11 14 9 4	1P	Pair of Jacks
4018	11 11 14 9 3	1P	Pair of Jacks
4019	11 11 14 9 2	1P	Pair of Jacks
4020	11 11 14 8 7	1P	Pair of Jacks
4021	11 11 14 8 6	1P	Pair of Jacks
4022	11 11 14 8 5	1P	Pair of Jacks
4023	11 11 14 8 4	1P	Pair of Jacks
4024	11 11 14 8 3	1P	Pair of Jacks
4025	11 11 14 8 2	1P	Pair of Jacks
4026	11 11 14 7 6	1P	Pair of Jacks
4027	11 11 14 7 5	1P	Pair of Jacks
4028	11 11 14 7 4	1P	Pair of Jacks
4029	11 11 14 7 3	1P	Pair of Jacks
4030	11 11 14 7 2	1P	Pair of Jacks
4031	11 11 14 6 5	1P	Pair of Jacks
4032	11 11 14 6 4	1P	Pair of Jacks
4033	11 11 14 6 3	1P	Pair of Jacks
4034	11 11 14 6 2	1P	Pair of Jacks
4035	11 11 14 5 4	1P	Pair of Jacks
4036	11 11 14 5 3	1P	Pair of Jacks
4037	11 11 14 5 2	1P	Pair of Jacks
4038	11 11 14 4 3	1P	Pair of Jacks
4039	11 11 14 4 2	1P	Pair of Jacks
4040	11 11 14 3 2	1P	Pair of Jacks
4041	11 11 13 12 10	1P	Pair of Jacks
4042	11 11 13 12 9	1P	Pair of Jacks
4043	11 11 13 12 8	1P	Pair of Jacks
4044	11 11 13 12 7	1P	Pair of Jacks
4045	11 11 13 12 6	1P	Pair of Jacks
4046	11 11 13 12 5	1P	Pair of Jacks
4047	11 11 13 12 4	1P	Pair of Jacks
4048	11 11 13 12 3	1P	Pair of Jacks
4049	11 11 13 12 2	1P	Pair of Jacks
4050	11 11 13 10 9	1P	Pair of Jacks
4051	11 11 13 10 8	1P	Pair of Jacks
4052	11 11 13 10 7	1P	Pair of Jacks
4053	11 11 13 10 6	1P	Pair of Jacks
4054	11 11 13 10 5	1P	Pair of Jacks
4055	11 11 13 10 4	1P	Pair of Jacks
4056	11 11 13 10 3	1P	Pair of Jacks
4057	11 11 13 10 2	1P	Pair of Jacks
4058	11 11 13 9 8	1P	Pair of Jacks
4059	11 11 13 9 7	1P	Pair of Jacks
4060	11 11 13 9 6	1P	Pair of Jacks
4061	11 11 13 9 5	1P	Pair of Jacks
4062	11 11 13 9 4	1P	Pair of Jacks
4063	11 11 13 9 3	1P	Pair of Jacks
4064	11 11 13 9 2	1P	Pair of Jacks
4065	11 11 13 8 7	1P	Pair of Jacks
4066	11 11 13 8 6	1P	Pair of Jacks
4067	11 11 13 8 5	1P	Pair of Jacks
4068	11 11 13 8 4	1P	Pair of Jacks
4069	11 11 13 8 3	1P	Pair of Jacks
4070	11 11 13 8 2	1P	Pair of Jacks
4071	11 11 13 7 6	1P	Pair of Jacks
4072	11 11 13 7 5	1P	Pair of Jacks
4073	11 11 13 7 4	1P	Pair of Jacks
4074	11 11 13 7 3	1P	Pair of Jacks
4075	11 11 13 7 2	1P	Pair of Jacks
4076	11 11 13 6 5	1P	Pair of Jacks
4077	11 11 13 6 4	1P	Pair of Jacks
4078	11 11 13 6 3	1P	Pair of Jacks
4079	11 11 13 6 2	1P	Pair of Jacks
4080	11 11 13 5 4	1P	Pair of Jacks
4081	11 11 13 5 3	1P	Pair of Jacks
4082	11 11 13 5 2	1P	Pair of Jacks
4083	11 11 13 4 3	1P	Pair of Jacks
4084	11 11 13 4 2	1P	Pair of Jacks
4085	11 11 13 3 2	1P	Pair of Jacks
4086	11 11 12 10 9	1P	Pair of Jacks
4087	11 11 12 10 8	1P	Pair of Jacks
4088	11 11 12 10 7	1P	Pair of Jacks
4089	11 11 12 10 6	1P	Pair of Jacks
4090	11 11 12 10 5	1P	Pair of Jacks
4091	11 11 12 10 4	1P	Pair of Jacks
4092	11 11 12 10 3	1P	Pair of Jacks
4093	11 11 12 10 2	1P	Pair of Jacks
4094	11 11 12 9 8	1P	Pair of Jacks
4095	11 11 12 9 7	1P	Pair of Jacks
4096	11 11 12 9 6	1P	Pair of Jacks
4097	11 11 12 9 5	1P	Pair of Jacks
4098	11 11 12 9 4	1P	Pair of Jacks
4099	11 11 12 9 3	1P	Pair of Jacks
4100	11 11 12 9 2	1P	Pair of Jacks
4101	11 11 12 8 7	1P	Pair of Jacks
4102	11 11 12 8 6	1P	Pair of Jacks
4103	11 11 12 8 5	1P	Pair of Jacks
4104	11 11 12 8 4	1P	Pair of Jacks
4105	11 11 12 8 3	1P	Pair of Jacks
4106	11 11 12 8 2	1P	Pair of Jacks
4107	11 11 12 7 6	1P	Pair of Jacks
4108	11 11 12 7 5	1P	Pair of Jacks
4109	11 11 12 7 4	1P	Pair of Jacks
4110	11 11 12 7 3	1P	Pair of Jacks
4111	11 11 12 7 2	1P	Pair of Jacks
4112	11 11 12 6 5	1P	Pair of Jacks
4113	11 11 12 6 4	1P	Pair of Jacks
4114	11 11 12 6 3	1P	Pair of Jacks
4115	11 11 12 6 2	1P	Pair of Jacks
4116	11 11 12 5 4	1P	Pair of Jacks
4117	11 11 12 5 3	1P	Pair of Jacks
4118	11 11 12 5 2	1P	Pair of Jacks
4119	11 11 12 4 3	1P	Pair of Jacks
4120	11 11 12 4 2	1P	Pair of Jacks
4121	11 11 12 3 2	1P	Pair of Jacks
4122	11 11 10 9 8	1P	Pair of Jacks
4123	11 11 10 9 7	1P	Pair of Jacks
4124	11 11 10 9 6	1P	Pair of Jacks
4125	11 11 10 9 5	1P	Pair of Jacks
4126	11 11 10 9 4	1P	Pair of Jacks
4127	11 11 10 9 3	1P	Pair of Jacks
4128	11 11 10 9 2	1P	Pair of Jacks
4129	11 11 10 8 7	1P	Pair of Jacks
4130	11 11 10 8 6	1P	Pair of Jacks
4131	11 11 10 8 5	1P	Pair of Jacks
4132	11 11 10 8 4	1P	Pair of Jacks
4133	11 11 10 8 3	1P	Pair of Jacks
4134	11 11 10 8 2	1P	Pair of Jacks
4135	11 11 10 7 6	1P	Pair of Jacks
4136	11 11 10 7 5	1P	Pair of Jacks
4137	11 11 10 7 4	1P	Pair of Jacks
4138	11 11 10 7 3	1P	Pair of Jacks
4139	11 11 10 7 2	1P	Pair of Jacks
4140	11 11 10 6 5	1P	Pair of Jacks
4141	11 11 10 6 4	1P	Pair of Jacks
4142	11 11 10 6 3	1P	Pair of Jacks
4143	11 11 10 6 2	1P	Pair of Jacks
4144	11 11 10 5 4	1P	Pair of Jacks
4145	11 11 10 5 3	1P	Pair of Jacks
4146	11 11 10 5 2	1P	Pair of Jacks
4147	11 11 10 4 3	1P	Pair of Jacks
4148	11 11 10 4 2	1P	Pair of Jacks
4149	11 11 10 3 2	1P	Pair of Jacks
4150	11 11 9 8 7	1P	Pair of Jacks
4151	11 11 9 8 6	1P	Pair of Jacks
4152	11 11 9 8 5	1P	Pair of Jacks
4153	11 11 9 8 4	1P	Pair of Jacks
4154	11 11 9 8 3	1P	Pair of Jacks
4155	11 11 9 8 2	1P	Pair of Jacks
4156	11 11 9 7 6	1P	Pair of Jacks
4157	11 11 9 7 5	1P	Pair of Jacks
4158	11 11 9 7 4	1P	Pair of Jacks
4159	11 11 9 7 3	1P	Pair of Jacks
4160	11 11 9 7 2	1P	Pair of Jacks
4161	11 11 9 6 5	1P	Pair of Jacks
4162	11 11 9 6 4	1P	Pair of Jacks
4163	11 11 9 6 3	1P	Pair of Jacks
4164	11 11 9 6 2	1P	Pair of Jacks
4165	11 11 9 5 4	1P	Pair of Jacks
4166	11 11 9 5 3	1P	Pair of Jacks
4167	11 11 9 5 2	1P	Pair of Jacks
4168	11 11 9 4 3	1P	Pair of Jacks
4169	11 11 9 4 2	1P	Pair of Jacks
4170	11 11 9 3 2	1P	Pair of Jacks
4171	11 11 8 7 6	1P	Pair of Jacks
4172	11 11 8 7 5	1P	Pair of Jacks
4173	11 11 8 7 4	1P	Pair of Jacks
4174	11 11 8 7 3	1P	Pair of Jacks
4175	11 11 8 7 2	1P	Pair of Jacks
4176	11 11 8 6 5	1P	Pair of Jacks
4177	11 11 8 6 4	1P	Pair of Jacks
4178	11 11 8 6 3	1P	Pair of Jacks
4179	11 11 8 6 2	1P	Pair of Jacks
4180	11 11 8 5 4	1P	Pair of Jacks
4181	11 11 8 5 3	1P	Pair of Jacks
4182	11 11 8 5 2	1P	Pair of Jacks
4183	11 11 8 4 3	1P	Pair of Jacks
4184	11 11 8 4 2	1P	Pair of Jacks
4185	11 11 8 3 2	1P	Pair of Jacks
4186	11 11 7 6 5	1P	Pair of Jacks
4187	11 11 7 6 4	1P	Pair of Jacks
4188	11 11 7 6 3	1P	Pair of Jacks
4189	11 11 7 6 2	1P	Pair of Jacks
4190	11 11 7 5 4	1P	Pair of Jacks
4191	11 11 7 5 3	1P	Pair of Jacks
4192	11 11 7 5 2	1P	Pair of Jacks
4193	11 11 7 4 3	1P	Pair of Jacks
4194	11 11 7 4 2	1P	Pair of Jacks
4195	11 11 7 3 2	1P	Pair of Jacks
4196	11 11 6 5 4	1P	Pair of Jacks
4197	11 11 6 5 3	1P	Pair of Jacks
4198	11 11 6 5 2	1P	Pair of Jacks
4199	11 11 6 4 3	1P	Pair of Jacks
4200	11 11 6 4 2	1P	Pair of Jacks
4201	11 11 6 3 2	1P	Pair of Jacks
4202	11 11 5 4 3	1P	Pair of Jacks
4203	11 11 5 4 2	1P	Pair of Jacks
4204	11 11 5 3 2	1P	Pair of Jacks
4205	11 11 4 3 2	1P	Pair of Jacks
4206	10 10 14 13 12	1P	Pair of Tens
4207	10 10 14 13 11	1P	Pair of Tens
4208	10 10 14 13 9	1P	Pair of Tens
4209	10 10 14 13 8	1P	Pair of Tens
4210	10 10 14 13 7	1P	Pair of Tens
4211	10 10 14 13 6	1P	Pair of Tens
4212	10 10 14 13 5	1P	Pair of Tens
4213	10 10 14 13 4	1P	Pair of Tens
4214	10 10 14 13 3	1P	Pair of Tens
4215	10 10 14 13 2	1P	Pair of Tens
4216	10 10 14 12 11	1P	Pair of Tens
4217	10 10 14 12 9	1P	Pair of Tens
4218	10 10 14 12 8	1P	Pair of Tens
4219	10 10 14 12 7	1P	Pair of Tens
4220	10 10 14 12 6	1P	Pair of Tens
4221	10 10 14 12 5	1P	Pair of Tens
4222	10 10 14 12 4	1P	Pair of Tens
4223	10 10 14 12 3	1P	Pair of Tens
4224	10 10 14 12 2	1P	Pair of Tens
4225	10 10 14 11 9	1P	Pair of Tens
4226	10 10 14 11 8	1P	Pair of Tens
4227	10 10 14 11 7	1P	Pair of Tens
4228	10 10 14 11 6	1P	Pair of Tens
4229	10 10 14 11 5	1P	Pair of Tens
4230	10 10 14 11 4	1P	Pair of Tens
4231	10 10 14 11 3	1P	Pair of Tens
4232	10 10 14 11 2	1P	Pair of Tens
4233	10 10 14 9 8	1P	Pair of Tens
4234	10 10 14 9 7	1P	Pair of Tens
4235	10 10 14 9 6	1P	Pair of Tens
4236	10 10 14 9 5	1P	Pair of Tens
4237	10 10 14 9 4	1P	Pair of Tens
4238	10 10 14 9 3	1P	Pair of Tens
4239	10 10 14 9 2	1P	Pair of Tens
4240	10 10 14 8 7	1P	Pair of Tens
4241	10 10 14 8 6	1P	Pair of Tens
4242	10 10 14 8 5	1P	Pair of Tens
4243	10 10 14 8 4	1P	Pair of Tens
4244	10 10 14 8 3	1P	Pair of Tens
4245	10 10 14 8 2	1P	Pair of Tens
4246	10 10 14 7 6	1P	Pair of Tens
4247	10 10 14 7 5	1P	Pair of Tens
4248	10 10 14 7 4	1P	Pair of Tens
4249	10 10 14 7 3	1P	Pair of Tens
4250	10 10 14 7 2	1P	Pair of Tens
4251	10 10 14 6 5	1P	Pair of Tens
4252	10 10 14 6 4	1P	Pair of Tens
4253	10 10 14 6 3	1P	Pair of Tens
4254	10 10 14 6 2	1P	Pair of Tens
4255	10 10 14 5 4	1P	Pair of Tens
4256	10 10 14 5 3	1P	Pair of Tens
4257	10 10 14 5 2	1P	Pair of Tens
4258	10 10 14 4 3	1P	Pair of Tens
4259	10 10 14 4 2	1P	Pair of Tens
4260	10 10 14 3 2	1P	Pair of Tens
4261	10 10 13 12 11	1P	Pair of Tens
4262	10 10 13 12 9	1P	Pair of Tens
4263	10 10 13 12 8	1P	Pair of Tens
4264	10 10 13 12 7	1P	Pair of Tens
4265	10 10 13 12 6	1P	Pair of Tens
4266	10 10 13 12 5	1P	Pair of Tens
4267	10 10 13 12 4	1P	Pair of Tens
4268	10 10 13 12 3	1P	Pair of Tens
4269	10 10 13 12 2	1P	Pair of Tens
4270	10 10 13 11 9	1P	Pair of Tens
4271	10 10 13 11 8	1P	Pair of Tens
4272	10 10 13 11 7	1P	Pair of Tens
4273	10 10 13 11 6	1P	Pair of Tens
4274	10 10 13 11 5	1P	Pair of Tens
4275	10 10 13 11 4	1P	Pair of Tens
4276	10 10 13 11 3	1P	Pair of Tens
4277	10 10 13 11 2	1P	Pair of Tens
4278	10 10 13 9 8	1P	Pair of Tens
4279	10 10 13 9 7	1P	Pair of Tens
4280	10 10 13 9 6	1P	Pair of Tens
4281	10 10 13 9 5	1P	Pair of Tens
4282	10 10 13 9 4	1P	Pair of Tens
4283	10 10 13 9 3	1P	Pair of Tens
4284	10 10 13 9 2	1P	Pair of Tens
4285	10 10 13 8 7	1P	Pair of Tens
4286	10 10 13 8 6	1P	Pair of Tens
4287	10 10 13 8 5	1P	Pair of Tens
4288	10 10 13 8 4	1P	Pair of Tens
4289	10 10 13 8 3	1P	Pair of Tens
4290	10 10 13 8 2	1P	Pair of Tens
4291	10 10 13 7 6	1P	Pair of Tens
4292	10 10 13 7 5	1P	Pair of Tens
4293	10 10 13 7 4	1P	Pair of Tens
4294	10 10 13 7 3	1P	Pair of Tens
4295	10 10 13 7 2	1P	Pair of Tens
4296	10 10 13 6 5	1P	Pair of Tens
4297	10 10 13 6 4	1P	Pair of Tens
4298	10 10 13 6 3	1P	Pair of Tens
4299	10 10 13 6 2	1P	Pair of Tens
4300	10 10 13 5 4	1P	Pair of Tens
4301	10 10 13 5 3	1P	Pair of Tens
4302	10 10 13 5 2	1P	Pair of Tens
4303	10 10 13 4 3	1P	Pair of Tens
4304	10 10 13 4 2	1P	Pair of Tens
4305	10 10 13 3 2	1P	Pair of Tens
4306	10 10 12 11 9	1P	Pair of Tens
4307	10 10 12 11 8	1P	Pair of Tens
4308	10 10 12 11 7	1P	Pair of Tens
4309	10 10 12 11 6	1P	Pair of Tens
4310	10 10 12 11 5	1P	Pair of Tens
4311	10 10 12 11 4	1P	Pair of Tens
4312	10 10 12 11 3	1P	Pair of Tens
4313	10 10 12 11 2	1P	Pair of Tens
4314	10 10 12 9 8	1P	Pair of Tens
4315	10 10 12 9 7	1P	Pair of Tens
4316	10 10 12 9 6	1P	Pair of Tens
4317	10 10 12 9 5	1P	Pair of Tens
4318	10 10 12 9 4	1P	Pair of Tens
4319	10 10 12 9 3	1P	Pair of Tens
4320	10 10 12 9 2	1P	Pair of Tens
4321	10 10 12 8 7	1P	Pair of Tens
4322	10 10 12 8 6	1P	Pair of Tens
4323	10 10 12 8 5	1P	Pair of Tens
4324	10 10 12 8 4	1P	Pair of Tens
4325	10 10 12 8 3	1P	Pair of Tens
4326	10 10 12 8 2	1P	Pair of Tens
4327	10 10 12 7 6	1P	Pair of Tens
4328	10 10 12 7 5	1P	Pair of Tens
4329	10 10 12 7 4	1P	Pair of Tens
4330	10 10 12 7 3	1P	Pair of Tens
4331	10 10 12 7 2	1P	Pair of Tens
4332	10 10 12 6 5	1P	Pair of Tens
4333	10 10 12 6 4	1P	Pair of Tens
4334	10 10 12 6 3	1P	Pair of Tens
4335	10 10 12 6 2	1P	Pair of Tens
4336	10 10 12 5 4	1P	Pair of Tens
4337	10 10 12 5 3	1P	Pair of Tens
4338	10 10 12 5 2	1P	Pair of Tens
4339	10 10 12 4 3	1P	Pair of Tens
4340	10 10 12 4 2	1P	Pair of Tens
4341	10 10 12 3 2	1P	Pair of Tens
4342	10 10 11 9 8	1P	Pair of Tens
4343	10 10 11 9 7	1P	Pair of Tens
4344	10 10 11 9 6	1P	Pair of Tens
4345	10 10 11 9 5	1P	Pair of Tens
4346	10 10 11 9 4	1P	Pair of Tens
4347	10 10 11 9 3	1P	Pair of Tens
4348	10 10 11 9 2	1P	Pair of Tens
4349	10 10 11 8 7	1P	Pair of Tens
4350	10 10 11 8 6	1P	Pair of Tens
4351	10 10 11 8 5	1P	Pair of Tens
4352	10 10 11 8 4	1P	Pair of Tens
4353	10 10 11 8 3	1P	Pair of Tens
4354	10 10 11 8 2	1P	Pair of Tens
4355	10 10 11 7 6	1P	Pair of Tens
4356	10 10 11 7 5	1P	Pair of Tens
4357	10 10 11 7 4	1P	Pair of Tens
4358	10 10 11 7 3	1P	Pair of Tens
4359	10 10 11 7 2	1P	Pair of Tens
4360	10 10 11 6 5	1P	Pair of Tens
4361	10 10 11 6 4	1P	Pair of Tens
4362	10 10 11 6 3	1P	Pair of Tens
4363	10 10 11 6 2	1P	Pair of Tens
4364	10 10 11 5 4	1P	Pair of Tens
4365	10 10 11 5 3	1P	Pair of Tens
4366	10 10 11 5 2	1P	Pair of Tens
4367	10 10 11 4 3	1P	Pair of Tens
4368	10 10 11 4 2	1P	Pair of Tens
4369	10 10 11 3 2	1P	Pair of Tens
4370	10 10 9 8 7	1P	Pair of Tens
4371	10 10 9 8 6	1P	Pair of Tens
4372	10 10 9 8 5	1P	Pair of Tens
4373	10 10 9 8 4	1P	Pair of Tens
4374	10 10 9 8 3	1P	Pair of Tens
4375	10 10 9 8 2	1P	Pair of Tens
4376	10 10 9 7 6	1P	Pair of Tens
4377	10 10 9 7 5	1P	Pair of Tens
4378	10 10 9 7 4	1P	Pair of Tens
4379	10 10 9 7 3	1P	Pair of Tens
4380	10 10 9 7 2	1P	Pair of Tens
4381	10 10 9 6 5	1P	Pair of Tens
4382	10 10 9 6 4	1P	Pair of Tens
4383	10 10 9 6 3	1P	Pair of Tens
4384	10 10 9 6 2	1P	Pair of Tens
4385	10 10 9 5 4	1P	Pair of Tens
4386	10 10 9 5 3	1P	Pair of Tens
4387	10 10 9 5 2	1P	Pair of Tens
4388	10 10 9 4 3	1P	Pair of Tens
4389	10 10 9 4 2	1P	Pair of Tens
4390	10 10 9 3 2	1P	Pair of Tens
4391	10 10 8 7 6	1P	Pair of Tens
4392	10 10 8 7 5	1P	Pair of Tens
4393	10 10 8 7 4	1P	Pair of Tens
4394	10 10 8 7 3	1P	Pair of Tens
4395	10 10 8 7 2	1P	Pair of Tens
4396	10 10 8 6 5	1P	Pair of Tens
4397	10 10 8 6 4	1P	Pair of Tens
4398	10 10 8 6 3	1P	Pair of Tens
4399	10 10 8 6 2	1P	Pair of Tens
4400	10 10 8 5 4	1P	Pair of Tens
4401	10 10 8 5 3	1P	Pair of Tens
4402	10 10 8 5 2	1P	Pair of Tens
4403	10 10 8 4 3	1P	Pair of Tens
4404	10 10 8 4 2	1P	Pair of Tens
4405	10 10 8 3 2	1P	Pair of Tens
4406	10 10 7 6 5	1P	Pair of Tens
4407	10 10 7 6 4	1P	Pair of Tens
4408	10 10 7 6 3	1P	Pair of Tens
4409	10 10 7 6 2	1P	Pair of Tens
4410	10 10 7 5 4	1P	Pair of Tens
4411	10 10 7 5 3	1P	Pair of Tens
4412	10 10 7 5 2	1P	Pair of Tens
4413	10 10 7 4 3	1P	Pair of Tens
4414	10 10 7 4 2	1P	Pair of Tens
4415	10 10 7 3 2	1P	Pair of Tens
4416	10 10 6 5 4	1P	Pair of Tens
4417	10 10 6 5 3	1P	Pair of Tens
4418	10 10 6 5 2	1P	Pair of Tens
4419	10 10 6 4 3	1P	Pair of Tens
4420	10 10 6 4 2	1P	Pair of Tens
4421	10 10 6 3 2	1P	Pair of Tens
4422	10 10 5 4 3	1P	Pair of Tens
4423	10 10 5 4 2	1P	Pair of Tens
4424	10 10 5 3 2	1P	Pair of Tens
4425	10 10 4 3 2	1P	Pair of Tens
4426	9 9 14 13 12	1P	Pair of Nines
4427	9 9 14 13 11	1P	Pair of Nines
4428	9 9 14 13 10	1P	Pair of Nines
